                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.78648,                0.49677,                 1.0658,                0.75468,                0.49491,                0.55186,                0.40525,                0.92158,                 0.7353,                 1.1728,             0.00034719,             0.00034719,             0.00034719
                     59,                0.77393,                0.48877,                  1.067,                0.73691,                 0.4996,                0.55288,                0.40516,                0.93059,                0.74019,                 1.1602,             0.00034405,             0.00034405,             0.00034405
                     60,                0.76926,                0.48989,                 1.0666,                0.74266,                0.49936,                0.55649,                0.40759,                 0.9355,                0.72735,                 1.1669,             0.00034092,             0.00034092,             0.00034092
                     61,                 0.7865,                0.49813,                 1.0644,                0.73127,                0.50161,                 0.5555,                0.40597,                0.93222,                0.74723,                 1.1625,             0.00033778,             0.00033778,             0.00033778
                     62,                 0.7803,                0.48909,                 1.0552,                0.75203,                0.49256,                 0.5451,                0.39828,                0.93638,                0.74281,                 1.1784,             0.00033464,             0.00033464,             0.00033464
                     63,                0.76738,                0.49055,                 1.0719,                0.76182,                0.49078,                 0.5517,                0.40552,                0.93362,                0.74895,                 1.1593,             0.00033151,             0.00033151,             0.00033151
                     64,                 0.7723,                0.48859,                 1.0565,                  0.736,                0.49258,                 0.5404,                0.39681,                0.93404,                0.74262,                 1.1782,             0.00032837,             0.00032837,             0.00032837
                     65,                0.77468,                0.48945,                 1.0584,                0.74536,                0.50407,                 0.5565,                0.40664,                0.93075,                 0.7274,                 1.1591,             0.00032523,             0.00032523,             0.00032523
                     66,                0.77266,                0.48765,                  1.061,                0.77147,                0.49388,                0.55621,                0.40666,                0.93379,                 0.7342,                 1.1646,              0.0003221,              0.0003221,              0.0003221
                     67,                0.75335,                0.47576,                 1.0505,                0.74804,                0.49308,                0.55179,                0.40593,                0.93159,                0.73148,                 1.1719,             0.00031896,             0.00031896,             0.00031896
                     68,                0.75827,                0.47991,                 1.0617,                0.76023,                0.49468,                0.55316,                0.40728,                0.91782,                0.73777,                 1.1712,             0.00031582,             0.00031582,             0.00031582
                     69,                0.76484,                 0.4841,                 1.0589,                0.79558,                0.48834,                0.55564,                0.40794,                0.92059,                0.73349,                 1.1634,             0.00031268,             0.00031268,             0.00031268
                     70,                0.75017,                0.47397,                 1.0465,                0.77247,                0.48707,                0.55213,                0.40536,                0.92534,                0.73449,                  1.172,             0.00030955,             0.00030955,             0.00030955
