                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.6644,                 1.2482,                 1.4326,                0.64152,                0.28491,                0.29321,                0.17578,                 1.6627,                 1.3369,                 1.5049,             0.00038697,             0.00038697,             0.00038697
                     57,                 1.6731,                 1.2388,                 1.4244,                0.52376,                0.29391,                0.29346,                0.17688,                 1.6595,                 1.3005,                 1.4926,             0.00038444,             0.00038444,             0.00038444
                     58,                 1.7047,                 1.2586,                 1.4419,                0.62411,                0.27834,                0.28912,                0.17289,                 1.6605,                 1.3137,                 1.5332,             0.00038191,             0.00038191,             0.00038191
                     59,                 1.6887,                 1.2507,                 1.4557,                0.62728,                0.27236,                0.28793,                0.17625,                 1.6356,                 1.3836,                 1.4948,             0.00037938,             0.00037938,             0.00037938
                     60,                 1.6558,                 1.2339,                 1.4309,                0.66203,                0.27974,                0.29833,                0.17989,                 1.6471,                 1.3673,                  1.485,             0.00037686,             0.00037686,             0.00037686
                     61,                  1.684,                 1.2491,                 1.4317,                0.65184,                0.27849,                0.29776,                0.18245,                 1.6458,                 1.3706,                 1.4675,             0.00037433,             0.00037433,             0.00037433
                     62,                 1.6648,                  1.229,                 1.4547,                0.69927,                0.27379,                0.29982,                0.18558,                 1.6107,                 1.3584,                  1.477,              0.0003718,              0.0003718,              0.0003718
                     63,                 1.6552,                  1.236,                 1.4378,                0.68396,                0.27713,                0.30294,                0.18143,                 1.6202,                 1.2882,                 1.4838,             0.00036927,             0.00036927,             0.00036927
                     64,                 1.6542,                 1.2514,                 1.4163,                0.64739,                0.29133,                0.29695,                0.18029,                 1.6178,                 1.3655,                 1.4866,             0.00036674,             0.00036674,             0.00036674
                     65,                 1.6158,                 1.2073,                 1.4478,                0.58074,                0.29639,                0.30497,                0.18423,                 1.6124,                 1.2814,                 1.4749,             0.00036422,             0.00036422,             0.00036422
                     66,                 1.6347,                  1.211,                 1.4325,                0.60022,                0.30305,                0.30738,                0.19011,                 1.5832,                 1.2549,                  1.449,             0.00036169,             0.00036169,             0.00036169
                     67,                 1.6285,                 1.1925,                 1.4124,                0.65407,                0.28402,                0.30624,                0.18681,                 1.5959,                 1.2832,                 1.4952,             0.00035916,             0.00035916,             0.00035916
                     68,                 1.6044,                 1.1849,                 1.4426,                0.66052,                0.29923,                0.31525,                 0.1937,                 1.5696,                 1.2457,                  1.457,             0.00035663,             0.00035663,             0.00035663
                     69,                 1.6125,                 1.1855,                 1.4212,                0.66666,                0.29727,                0.31244,                0.19268,                 1.5737,                 1.2928,                 1.4478,             0.00035411,             0.00035411,             0.00035411
                     70,                 1.5849,                   1.16,                 1.3969,                0.61955,                0.29791,                0.30741,                0.19032,                 1.5843,                 1.2773,                 1.4613,             0.00035158,             0.00035158,             0.00035158
                     71,                 1.6047,                  1.165,                 1.3999,                0.56882,                0.28998,                0.30379,                0.18616,                 1.5968,                 1.2744,                 1.4538,             0.00034905,             0.00034905,             0.00034905
                     72,                 1.6212,                 1.1784,                 1.3838,                0.62344,                0.29224,                0.31109,                0.19478,                 1.5685,                 1.2802,                 1.4686,             0.00034652,             0.00034652,             0.00034652
                     73,                 1.6187,                 1.1763,                 1.4189,                0.59805,                0.30545,                0.31045,                0.19105,                  1.572,                 1.2445,                 1.4416,             0.00034399,             0.00034399,             0.00034399
                     74,                 1.5887,                 1.1502,                 1.4069,                0.60404,                0.30263,                 0.3218,                0.19828,                 1.5671,                 1.2196,                 1.4581,             0.00034147,             0.00034147,             0.00034147
                     75,                 1.5865,                 1.1605,                 1.3896,                0.66621,                0.29525,                0.31271,                0.19242,                 1.5634,                 1.2528,                 1.4428,             0.00033894,             0.00033894,             0.00033894
                     76,                 1.5871,                 1.1627,                 1.3844,                0.61492,                 0.3079,                0.31741,                0.19658,                 1.5595,                 1.2678,                 1.4277,             0.00033733,             0.00033733,             0.00033733
                     77,                 1.5479,                 1.1385,                 1.3923,                0.60046,                0.29689,                0.31223,                0.19442,                 1.5561,                 1.2689,                 1.4508,             0.00033481,             0.00033481,             0.00033481
                     78,                 1.5759,                 1.1571,                 1.3893,                0.57422,                0.31696,                0.32693,                 0.2035,                 1.5336,                 1.2128,                 1.4447,             0.00033229,             0.00033229,             0.00033229
                     79,                 1.5707,                 1.1755,                 1.3963,                0.58769,                0.30354,                0.31177,                0.19451,                 1.5558,                 1.2473,                 1.4279,             0.00032978,             0.00032978,             0.00032978
                     80,                 1.5682,                 1.1709,                 1.3869,                0.61104,                0.29553,                0.31262,                0.19594,                  1.552,                 1.2893,                  1.436,             0.00032726,             0.00032726,             0.00032726
                     81,                 1.5641,                 1.1424,                 1.3814,                0.65666,                 0.3043,                0.32355,                0.20283,                 1.5292,                 1.2255,                 1.4174,             0.00032475,             0.00032475,             0.00032475
                     82,                 1.5394,                 1.1225,                 1.3706,                0.61598,                0.29863,                0.32649,                0.20507,                 1.5203,                 1.2026,                 1.4164,             0.00032223,             0.00032223,             0.00032223
                     83,                 1.5364,                 1.1045,                 1.3648,                0.69089,                0.30335,                0.32939,                0.20545,                 1.5185,                  1.224,                 1.4185,             0.00031972,             0.00031972,             0.00031972
                     84,                 1.5347,                 1.1175,                 1.3669,                 0.6054,                 0.3027,                0.32155,                0.19723,                 1.5487,                 1.2338,                 1.4154,              0.0003172,              0.0003172,              0.0003172
                     85,                 1.5414,                 1.1388,                 1.3812,                0.58065,                 0.3171,                   0.33,                0.20692,                 1.4946,                   1.19,                 1.4042,             0.00031469,             0.00031469,             0.00031469
                     86,                 1.5176,                 1.1124,                 1.3685,                0.61103,                0.31919,                0.33135,                 0.2067,                  1.512,                  1.192,                 1.3959,             0.00031217,             0.00031217,             0.00031217
                     87,                 1.5271,                 1.1142,                 1.3722,                0.62273,                0.31496,                0.32864,                0.20394,                 1.5142,                 1.2363,                 1.4128,             0.00030965,             0.00030965,             0.00030965
                     88,                 1.5281,                 1.0967,                 1.3746,                0.62041,                0.32477,                0.33768,                0.21237,                 1.5019,                 1.2045,                 1.4376,             0.00030714,             0.00030714,             0.00030714
                     89,                 1.5097,                 1.0785,                 1.3582,                0.61269,                0.31803,                0.33104,                0.20595,                 1.5099,                 1.2046,                 1.4139,             0.00030462,             0.00030462,             0.00030462
                     90,                 1.5054,                 1.1006,                 1.3688,                 0.6268,                0.31153,                0.32834,                0.20393,                 1.5309,                 1.2087,                 1.4216,             0.00030211,             0.00030211,             0.00030211
