                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.98678,                0.73923,                 1.0949,                 0.7086,                0.45107,                0.49139,                0.34615,                 1.0326,                0.80493,                 1.1713,             0.00040082,             0.00040082,             0.00040082
                     52,                0.99325,                0.65915,                 1.1106,                 0.7338,                0.44491,                0.49154,                 0.3518,                 1.0414,                0.79626,                 1.1568,             0.00039832,             0.00039832,             0.00039832
                     53,                0.98252,                0.64565,                 1.0903,                 0.6934,                0.45245,                0.48428,                0.34276,                 1.0317,                0.79942,                 1.1609,             0.00039581,             0.00039581,             0.00039581
                     54,                0.97391,                0.63477,                 1.1007,                0.71251,                0.45126,                0.49066,                0.34772,                 1.0433,                0.79649,                 1.1651,             0.00039331,             0.00039331,             0.00039331
                     55,                0.97485,                0.63901,                 1.1119,                0.74011,                0.44333,                0.49712,                0.35431,                 1.0233,                0.78737,                 1.1635,             0.00039081,             0.00039081,             0.00039081
                     56,                0.95793,                0.62762,                  1.086,                0.70423,                0.44135,                0.48879,                0.34613,                 1.0413,                0.79894,                 1.1734,              0.0003883,              0.0003883,              0.0003883
                     57,                0.97386,                0.64637,                 1.0854,                0.70734,                0.45501,                 0.4947,                0.34771,                 1.0449,                 0.7985,                 1.1671,              0.0003858,              0.0003858,              0.0003858
                     58,                0.99558,                0.65178,                 1.0945,                0.70867,                0.45331,                0.49534,                0.34937,                 1.0411,                0.79525,                  1.171,              0.0003833,              0.0003833,              0.0003833
                     59,                0.97934,                0.63198,                 1.1042,                0.70601,                0.44565,                 0.4886,                0.34243,                 1.0461,                0.80663,                 1.1747,             0.00038079,             0.00038079,             0.00038079
                     60,                0.96361,                0.62818,                   1.09,                0.70595,                0.45112,                0.49045,                0.34575,                 1.0448,                0.80098,                 1.1703,             0.00037829,             0.00037829,             0.00037829
