                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5407,                 1.0285,                 1.2907,                0.57918,                0.44964,                0.46776,                0.27541,                 1.4798,                 1.1806,                 1.3904,             0.00082714,             0.00082714,             0.00082714
                     46,                 1.5029,                  1.038,                   1.31,                0.58556,                0.43857,                0.47191,                0.27447,                 1.5006,                 1.1337,                 1.3914,             0.00082251,             0.00082251,             0.00082251
                     47,                 1.5191,                 1.0386,                 1.2945,                0.73349,                 0.4312,                0.46613,                0.27059,                 1.5247,                 1.2441,                 1.4173,             0.00081929,             0.00081929,             0.00081929
                     48,                 1.5312,                 1.0344,                 1.3218,                0.75811,                0.45806,                0.48421,                0.27968,                 1.5087,                 1.1197,                 1.4423,             0.00081536,             0.00081536,             0.00081536
                     49,                 1.5455,                 1.0136,                 1.3002,                0.67539,                0.45585,                 0.4777,                0.27455,                 1.5082,                 1.1241,                 1.3936,             0.00081143,             0.00081143,             0.00081143
                     50,                 1.4838,                0.98871,                 1.2899,                0.75221,                0.44182,                0.46954,                0.27206,                 1.5094,                 1.1936,                 1.3721,              0.0008075,              0.0008075,              0.0008075
                     51,                 1.4772,                0.97578,                 1.2805,                0.75515,                0.46612,                0.49227,                0.29602,                  1.424,                 1.0618,                 1.3811,             0.00080357,             0.00080357,             0.00080357
                     52,                 1.4579,                0.97955,                 1.2906,                0.76328,                0.46797,                0.49199,                0.28878,                 1.4552,                 1.0971,                 1.3675,             0.00079964,             0.00079964,             0.00079964
                     53,                 1.4933,                 1.0211,                 1.3177,                0.66754,                0.47112,                0.49074,                0.28627,                 1.4456,                 1.1194,                 1.3437,             0.00079571,             0.00079571,             0.00079571
                     54,                  1.468,                0.98682,                 1.2734,                0.64111,                0.46838,                0.49501,                0.29526,                 1.4353,                 1.0782,                 1.3672,             0.00079179,             0.00079179,             0.00079179
                     55,                 1.4623,                0.97708,                 1.2915,                 0.6117,                0.46225,                0.48637,                0.28608,                 1.4413,                 1.1356,                 1.3724,             0.00078786,             0.00078786,             0.00078786
                     56,                 1.4587,                0.96489,                 1.2809,                0.64784,                0.45856,                0.49071,                 0.2909,                 1.4586,                 1.1079,                 1.3518,             0.00078393,             0.00078393,             0.00078393
                     57,                 1.4493,                 0.9691,                 1.2717,                 0.7728,                0.46449,                0.49335,                0.29354,                 1.4227,                 1.0462,                 1.3459,                0.00078,                0.00078,                0.00078
                     58,                 1.4582,                0.97937,                 1.2896,                0.71785,                0.46309,                0.49594,                0.29239,                 1.4665,                 1.1199,                 1.3803,             0.00077607,             0.00077607,             0.00077607
                     59,                 1.4637,                0.96325,                 1.2686,                0.63978,                0.46846,                0.49574,                0.29351,                 1.4419,                 1.0712,                 1.3774,             0.00077214,             0.00077214,             0.00077214
                     60,                 1.4469,                 0.9635,                 1.2563,                0.77565,                0.45869,                0.49742,                0.29869,                 1.4291,                 1.0743,                 1.3324,             0.00076729,             0.00076729,             0.00076729
                     61,                 1.4452,                0.98482,                 1.2637,                0.77515,                 0.4675,                0.49804,                0.30142,                 1.3875,                 1.0382,                 1.3305,             0.00076429,             0.00076429,             0.00076429
                     62,                 1.4207,                0.96367,                 1.2702,                0.65754,                0.45612,                0.48568,                0.28899,                 1.4217,                 1.1102,                 1.3605,              0.0007594,              0.0007594,              0.0007594
                     63,                 1.4225,                0.95486,                 1.2813,                0.67146,                0.47278,                0.50467,                0.30132,                 1.3954,                 1.0739,                 1.3187,             0.00075643,             0.00075643,             0.00075643
                     64,                 1.4301,                0.94741,                 1.2514,                0.68908,                0.46254,                0.50396,                0.29976,                 1.4391,                 1.0901,                 1.3393,              0.0007525,              0.0007525,              0.0007525
                     65,                 1.4096,                0.94273,                  1.264,                0.65278,                 0.4753,                0.50822,                0.31145,                 1.3614,                 1.0035,                 1.3375,             0.00074757,             0.00074757,             0.00074757
                     66,                 1.4048,                0.93074,                 1.2612,                0.67687,                0.47004,                0.50569,                0.30661,                 1.3678,                 1.0602,                 1.3387,             0.00074363,             0.00074363,             0.00074363
                     67,                 1.4033,                0.93716,                 1.2517,                0.73583,                0.47663,                0.51643,                0.31499,                 1.3754,                 1.0321,                 1.3075,             0.00073968,             0.00073968,             0.00073968
                     68,                 1.3717,                0.91195,                 1.2462,                  0.687,                0.48252,                0.51829,                0.31859,                 1.3323,                 1.0082,                 1.3352,             0.00073574,             0.00073574,             0.00073574
                     69,                 1.3821,                0.92047,                 1.2629,                 0.7101,                 0.4649,                0.51078,                  0.304,                 1.3982,                 1.0466,                 1.3301,             0.00073179,             0.00073179,             0.00073179
                     70,                 1.3942,                0.92234,                 1.2671,                0.66156,                0.46772,                0.50627,                0.30668,                 1.3939,                 1.0351,                 1.3267,             0.00072785,             0.00072785,             0.00072785
